Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Java 11+ Essential Training,"More from LinkedIn Learning's top experts<br><div><a href=""https://www.linkedin.com/newsletters/6674783657376395265?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">Programming Languages Newsletter</a></div><br>If you want to build applications for mobile devices, desktop computers, or the web, you need to know Java. This course provides the foundation for learning how to program with the most recent Long-Term Support (LTS) release, Java SE 11, and more recent versions. David Gassner shows how to install Java and the IntelliJ IDEA Community Edition IDE and start working with variables, data types, and other critical language components. He also helps you control program flow with conditional logic and loops, store data with Java collections, and understand how Java implements object-oriented coding principles such as inheritance.",Course,2020-10-23 05:09 UTC,N/A,false,N/A,
After Effects 2020 New Features,"After Effects 2020 is here. Want to know how this new version will impact your motion graphics workflow? This course covers the latest upgrade, focused around the new, more powerful Content-Aware Fill. Discover how to remove an object, create a reference frame, and remove a logo on a smooth surface with this intelligent editing tool. Instructor Mark Christiansen provides practical tips to help you get the most from this forward-looking update.",Course,2020-11-05 10:04 UTC,N/A,false,N/A,
HTML5 Game Development with Phaser,"Phaser is a cross-platform game development framework for both mobile and desktop games. This fast, fun, and <em>free</em> framework supports both JavaScript and TypeScript, targeting the open web via HTML5 Canvas. This course shows you how to put Phaser to work: creating a multistate game that can be played on both desktop browsers and mobile devices. After you gather your assets, author Joseph Labrecque will help you start a new game project with the Brackets code editor, create a basic preloader and menu states, and then start building game entities and layering in functionality with Phaser's sprites, groups, animations, tweens, emitters, and physics. He'll also show you how to provide feedback to the player and add sound effects for a more immersive gaming experience. When you're done, Joseph shows you how to prep the game for a mobile launch.",Course,2020-05-05 08:31 UTC,N/A,false,N/A,
Operational Excellence Work-Out and Kaizen Facilitator,"If you are assigned to lead a Lean Six Sigma Work-Out or Kaizen event in your organization, where do you start? This course provides training on how to prepare, plan, and conduct these intensive working sessions. Dr. Richard Chua—an author, professor, and certified Lean Six Sigma Master Black Belt trainer—explains what a Work-Out or Kaizen event is and how to prepare and plan, including developing the purpose, scope, and detailed agenda; selecting Lean Six Sigma tools; and deciding who to invite. He also shows how to conduct different types of events and follow-up. Sample detailed agendas are provided.<br><br>

Note: This course does not cover general meeting facilitation. It is specific to planning Work-Outs and Kaizen events. Any prerequisite training in the Operational Excellence and Six Sigma learning paths should be completed beforehand.",Course,2019-10-21 18:36 UTC,N/A,false,N/A,
Program Databases with Transact-SQL,"This course focuses on a single category of objects within a SQL Server database: Programmability objects. With these objects, database developers can automate systems with triggers, ensure consistent user experiences with stored procedures, protect database integrity with transactions, and implement error-handling routines that enhance the database’s functionality. Join instructor Adam Wilbert as he takes a deep dive into the Programmability folder in a SQL Server database. Using real-world examples, he explores the types of objects that can be deployed to automate systems and maintain database integrity. To follow along, you just need some familiarity with the functionality of a relational database, as well as how to write Transact-SQL (T-SQL) queries. Discover how to write stored procedures that include input and output parameters; create scalar- and table-valued user defined functions; execute batches of commands as transactions; and more.",Course,2022-09-20 02:15 UTC,N/A,false,N/A,
Sheryl Sandberg and Adam Grant on Option B: Building Resilience,"Dodging adversity is often not a choice. Encountering a devastating event—the gut-wrenching kind that zaps away joy—is an inevitability of life. In their <em>New York Times</em> best-selling book <em>Option B: Facing Adversity, Building Resilience, and Finding Joy</em>, Facebook COO Sheryl Sandberg and Wharton psychologist Adam Grant share their insights on building resilience in the face of such setbacks. They offer practical steps you can take to reimagine and rebuild your life when your first choice—your Option A—is no longer on the table, and you're faced with the task of making the absolute best of Option B. This course highlights some of the powerful topics in this book, including how to talk to friends and colleagues who are hurting when you're not sure what to say, how to fight the idea that the hurt you're feeling is permanent, and how to give yourself permission to experience happiness again.<br><br> For additional resources and support, check out <a href=""https://optionb.org/"" target=""_blank""> OptionB.Org</a>, a nonprofit initiative dedicated to helping individuals build resilience in the face of adversity.",Course,2020-12-06 10:14 UTC,N/A,false,N/A,
Migrating to TypeScript 2,"TypeScript is a newer Microsoft language built on JavaScript that is finding wide adoption in the Microsoft, Google, and Angular communities. Like many things JavaScript these days, TypeScript is changing rapidly as it grows. This course introduces the latest enhancements of this rapidly evolving language including kinds of types, approaches for interacting with types, and more.",Course,2020-04-25 17:34 UTC,N/A,false,N/A,
HTML5: File API,"Join author Joe Marini as he demonstrates how to use the HTML5 File API to perform file-related operations from within a web page, including manipulating files, reading and accessing data within files, and retrieving information about files. The course also covers how to complete tasks that were previously only possible with native code, such as picture processing, file conversion, and content checking.",Course,2020-06-01 18:37 UTC,N/A,false,N/A,
SQL Essential Training,"Knowing how to code and manage relational databases and database-driven applications is a valuable skill for any career in tech. Completely updated for 2019, <i>SQL Essential Training</i> is designed to help users understand the most common language for database wrangling, SQL. All the lessons have been recorded in SQLiteStudio, an intuitive and easy-to-install database manager. Instructor Bill Weinman teaches all the major features of SQL: creating tables; defining relationships; manipulating strings, numbers, and dates; using triggers to automate actions; and using subselects and views. He offers a solid working knowledge of the language and shows how to retrieve and manage data efficiently. The final chapter includes a real-world example of building a simple application using SQL.<br><br>

This course was created by Bill Weinman. We are pleased to offer this training in our library.",Course,2022-06-07 02:07 UTC,N/A,false,N/A,
Advanced Web APIs with ASP.NET Core in .NET 6,"Web APIs drive the most popular web and mobile apps, as well as internet-enabled devices ranging from fridges to phones. Have you already built a web API of your own and want to take it to the next level? In this course, instructor Christian Wenz covers several advanced features ASP.NET Core Web API offers. Christian covers topics that include API versioning, securing your API, and more.",Course,2022-07-07 08:49 UTC,N/A,false,N/A,
Green Screen Techniques for Video and Photography,"Learning to shoot green screen removes many time and budget limitations. Instead of scouting and shooting on location—a prohibitive expense for most productions—you can digitally recreate the background of your scene. This course takes you through the steps of shooting both photography and video on green screen. Authors Rich Harrington and Abba Shapiro walk you through the process of preparing a live action set, from hanging the backdrop to lighting the subject with strobes; positioning and posing your subject; and completing the scene with post-production techniques in Adobe After Effects, Photoshop, and Premiere Pro. Learn how to composite your footage against a new digital background plate, match the color and exposure, adjust focus, and perform keying for motion.<br><br>This course was created by RHED Pixel. We are pleased to offer this training in our library.",Course,2021-01-04 08:43 UTC,N/A,false,N/A,
Learning Terraform (2020),"Terraform is a DevOps tool for declarative infrastructure—infrastructure as code. It simplifies and accelerates the configuration of cloud-based environments. In this course, instructor Josh Samuelson shows how to use Terraform to configure infrastructure and manage resources with Amazon Web Services (AWS). After demonstrating how to set up AWS for Terraform, Josh covers how Terraform manages your infrastructure, as well as how to use core Terraform commands. He also delves into more advanced topics, including how to arrange Terraform code to be more maintainable and modular. Upon wrapping up this course, you'll have the knowledge you need to efficiently define and mange infrastructure with this powerful tool.",Course,2020-05-13 08:01 UTC,N/A,false,N/A,
Python for Data Science Essential Training Part 1,"<i>Python for Data Science Essential Training</i> is one of the most popular data science courses at LinkedIn Learning. It has now been updated and expanded to two parts—for even more hands-on experience with Python. In this course, instructor Lillian Pierson takes you step by step through a practical data science project: a web scraper that downloads and analyzes data from the web. Along the way, she introduces techniques to clean, reformat, transform, and describe raw data; generate visualizations; remove outliers; perform simple data analysis; and generate interactive graphs using the Plotly library. You should walk away from this training with basic coding experience that you can take to your organization and quickly apply to your own custom data science projects.",Course,2020-05-25 06:15 UTC,N/A,false,N/A,
First Look: .NET 5,".NET 5 is the unifying release of the cross-platform, open-source framework from Microsoft. In this course, instructor Walt Ritscher gives you a first look at .NET 5, presenting a broad view of the features included in this release. He explores the .NET versions and changes to the .NET name. He examines the .NET pieces included in the release. He shows you init-only properties, the C# Record type, and top-level statements, then goes into container, JSON, and deployment improvements. Walt looks at the Visual Studio 2019 updates, improved Git integration, JavaScript debugging tools, and XAML hot reload. He discusses Blazor, a front-end (UI) framework that lets you build interactive web UIs using C# instead of JavaScript. In closing, Walt goes over Entity Framework Core, a lightweight, extensible, open-source, cross-platform version of the popular Entity Framework data access technology.",Course,2021-04-22 16:46 UTC,N/A,false,N/A,
Python for Non-Programmers,"Did you know that learning Python is one of the easiest ways to learn to code? It’s true. And in this course you can avoid the jargon and make learning how to code a lot more fun. You don’t have to be an expert technician, either. Join instructor Nick Walter and find out what you need to get started now.<br><br>In this course, Nick teaches the fundamentals of Python to you: a non-programmer, a user with little to no coding experience. Learn more about what Python is, and what it is and isn’t used for. Explore how Python works with numbers and how you can interact with simple programs such as a simple number-guessing game. Find out how to work with text in Python by building a reusable function to count the words in a block of text. And along the way, tackle quick challenges and other games that allow you to put your new skills to the test.",Course,2022-06-30 06:47 UTC,N/A,false,N/A,
Tableau for Data Scientists,"If your work requires any sort of graphical visualization of data, chances are you’ve run into Tableau. If you’ve been using Tableau but want to learn how to really harness its full power for data science, join expert Matt Francis in this course as he shows you how to take your skills to the next level. Matt starts with one of the most important features in Tableau: the difference between the green and blue pills (discrete and continuous data) and how this affects every single action Tableau performs. He then shows how to connect to and combine data from different data sources, how to create different charts to make sense of data, ways to transform your data with calculations, and how to create interactive maps. Finally, Matt details ways to present data effectively and how to make engaging dashboards. Whether you want to learn more about Tableau as a whole, or if you just want to improve your knowledge of a single subject, this course will help up your Tableau game.",Course,2022-06-15 17:57 UTC,N/A,false,N/A,
Learning React.js,"React.js is designed to make the process of building modular, reusable user interface components simple and intuitive. In this course, Eve Porcello guides you through the foundations of React development, including the use of React hooks—a new feature starting in React 16.8 that allows developers to add functionality to components without writing classes. Eve shows how to create components, display dynamic data with properties, and render components using JSX syntax.  Eve also manages the state of components with hooks; uses powerful React enhancements, such as the useEffect hook for loading remote data; and leverages cloud deployment options for apps created with create-react-app.<br><br>
 
This course was created by Eve Porcello. We are pleased to offer this training in our library.",Course,2021-01-16 17:19 UTC,N/A,false,N/A,
Sales Operations,"Sales operations is a critical component of any highly functioning sales organization. Individuals on a sales operations team work to help you successfully execute your go-to-market strategy and, in turn, grow your business. In this course, join Brian Frank as he dives into the sales operations function and how it can help you achieve sales success. Brian explains how to build sales territories by defining and sizing your total addressable market. He shares how to develop an effective go-to-market strategy, design compensation plans, and create a sales forecast. He also covers how to invest in the professional development of your sales team, identify the most valuable prospects and customers using data analysis, and more.",Course,2020-04-01 15:33 UTC,N/A,false,N/A,
Django: Forms,"Most websites require the use of forms to receive data from users, so it is crucial to know how to safely collect and handle data while maintaining a user-friendly experience on your website. In this course, learn how to use Django to create forms from scratch. Instructor Nick Walter also explains how to deploy forms to your site, access stored data, leverage submitted form data, work with widgets, customize formsets, and more.",Course,2020-10-14 17:45 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:693071,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:693071,Course,2020-11-30 08:05 UTC,N/A,false,N/A,
The Step-by-Step Guide to Building your Thought Leadership on LinkedIn,"Generating business, reaching new clients, or acting as a spokesperson for your company or product—there are many benefits to building your thought leadership on LinkedIn. Whether you are a seasoned professional or just starting out, Alexandra Galviz (""Authentic Alex”) can help. Alex is a Linked Top Voice for the UK and the cofounder of #LinkedInLocal. In this course, she offers a step-by-step guide to using LinkedIn to reach audiences and establish your expertise. She explains how to craft an authentic voice, grow your audience of brand ambassadors, and create courageous content. Each chapter is filled with examples of her favorite thought leaders in the UK, from entrepreneurs to business leaders. By the end, you’ll be sharing your stories in an authentic and relatable way and creating a deeper connection with your network.",Course,2020-12-15 13:29 UTC,N/A,false,N/A,
Software Architecture: From Developer to Architect,"How is a software architect different from a developer? What exactly do architects usually do, and what additional skills would you need to become one? Instructor Lee Atchison answers these questions and more as he introduces you to thinking like an architect. Whereas a developer focuses on details, an architect’s role requires letting go of the details in order to guide the process. A good architect evaluates proposed designs and methodologies and provides feedback to keep the big picture and all outside needs in mind. Lee walks you through a day in the life of the architect, which lets you see the roles that architects may fill for themselves and others. The modern architect needs to keep several principles in mind, and Lee discusses each one. He covers additional skills you need to develop to become a successful software architect, then concludes by walking you through how to discuss with your current manager your goal of becoming an architect.",Course,2022-03-21 15:59 UTC,N/A,false,N/A,
Learning Docker,"Docker is the next step beyond virtualization. A Docker image contains everything it needs to run, independent of the Linux server on which it lives: a copy of the operating system, a database, code, configuration files, dependencies, and so on. Images can also be packaged and shared with other Docker admins. Arthur Ulfeldt uses Docker to run complex systems with millions of users and hundreds of containers. Here, he shares his knowledge with you. He introduces the basics of Docker, including its containers, Dockerfiles (or base images), and capabilities for networking, data management, infrastructure optimization, and more. Watch and learn how to build your own containers, as well as how to network and link containers.",Course,2021-04-15 08:22 UTC,N/A,false,N/A,
Product Management: Building a Product Strategy,"Behind every successful product there is a clear strategic vision that takes both market and customer needs into account. Essentially, strategy is the set of choices a company makes in order to achieve its objectives. These choices include which products to develop, which market segments to focus on, how to differentiate, how to price, how to position, and more. Product leaders are the guardians of a company's strategy. While many people and teams can contribute to developing a strategy, product leaders need to articulate it and ensure that it's done in a way that is applicable for day-to-day decision-making. This course lays out how to develop an effective product strategy. Instructors Eldad Persky and Teg Grenager walk through a step-by-step process for creating a smart, thoughtful strategy, and explain how to build support for it. Plus, they go over how to maintain and implement your strategy.",Course,2022-02-13 05:49 UTC,N/A,false,N/A,
NX: Class A Surfacing,"Class A surface modelers are called digital sculptors for a reason: the Class A surface represents the absolute peak of styling for freeform surfaces. For this reason, the class A technique is used to design automobiles, high-end products like mobile phones, and aerospace craft, where the shapes must be of the highest quality. This course introduces the concepts behind Class A surfacing, including an explanation of key terms and their roots in shipbuilding history. You also learn the fundamentals of Class A surfacing design—from deriving curves to creating mesh surfaces—and find out how to implement these techniques in Siemens NX, a high-end CAD platform. Instructor Steven Marjieh also shows how to assemble the final form, and perform an analysis to ensure your designs meet the original engineering and styling intents.",Course,2021-07-05 05:30 UTC,N/A,false,N/A,
